Meter,WELL Name,Gas Rate Sm3/d,Oil Flow Sm3/d,Water Flow Rate m3/d,GOR,GWR,WLR,Sep. Gas Temp deg C,Sep. Static Pressure psig,DP[Bar],Temperature[C],Velocity[m/s],Quality,GVF[%],GasDen[kg/m3],GasVisc[cP],LiqDen[kg/m3],LiqVisc[cP],
C1-052,LCA-3013,187017.4597,14.69150822,8.63627938,12732.543,21674.31067,0.370169467,58.78108989,1316.744449,0.047627682,58.78108989,8.976522171,0.797039162,98.53846545,79.8855888,1.46E-05,704.2869665,0.000458696,
RAW_FSF,LCA-3013,167103.758,30.5024,12.2436,5478.987823,13645.95678,0.286445501,58.6784,1315.8024,,,,,,,,,,
C1-052,LCA-3083,123974.6587,41.38739587,99.78930499,3018.518719,1250.357576,0.706192215,61.42397209,1372.124835,0.039282982,61.42397209,6.522549461,0.767331449,88.48663467,82.56178359,1.48E-05,833.6428976,0.000438375,
RAW_FSF,LCA-3083,106672.4952,38.9888,76.7492,2768.99357,1397.740692,0.66109241,61.3416,1370.69,,,,,,,,,,
C1-052,LCA-3084,227925.9046,29.99298021,170.851433,7603.862362,1334.935659,0.850584513,67.61886897,1369.596724,0.130934097,67.61886897,12.18319264,0.822965332,91.8159052,79.90660589,1.49E-05,900.6749521,0.000395607,
RAW_FSF,LCA-3084,182809.8278,38.5426087,130.906087,4793.171908,1412.526644,0.765996919,67.29217391,1369.386087,,,,,,,,,,
C1-052,LCA-3085,124485.6405,38.67036893,87.60132604,3226.322965,1674.094373,0.678962087,62.15671371,1354.355154,0.03776198,62.15671371,6.56421535,0.770760217,89.85247414,81.06396514,1.48E-05,823.514954,0.000433311,
RAW_FSF,LCA-3085,105545.9772,41.59310345,69.85689655,2549.226161,1514.483292,0.626890896,62.81965517,1357.073793,,,,,,,,,,
Reference,LCA-3005,100000,11.14578689,8.186655751,8972,12215,0.42346722,,,,,,,,,,,,30
Reference,LCA-3006,100000,20.36245164,6.701065469,4911,14923,0.247605123,,,,,,,,,,,,
Reference,LCA-3007,100000,15.74307305,11.64686699,6352,8586,0.42522426,,,,,,,,,,,,
Reference,LCA-3008,100000,32.14400514,7.857311228,3111,12727,0.196426316,,,,,,,,,,,,
Reference,LCA-3009,100000,24.24242424,7.196833393,4125,13895,0.22891232,,,,,,,,,,,,
Reference,LCA-3010,100000,25.87991718,5.294086505,3864,18889,0.16982376,,,,,,,,,,,,
Reference,LCA-3011,100000,12.300123,6.951685784,8130,14385,0.361092605,,,,,,,,,,,,
Reference,LCA-3012,100000,13.84657989,8.717635777,7222,11471,0.386347831,,,,,,,,,,,,
Reference,LCA-3013,100000,11.01321586,7.929585283,9080,12611,0.418606795,,,,,,,,,,,,
Reference,LCA-3083,100000,51.84033178,20.12072435,1929,4970,0.27960574,,,,,,,,,,,,
Reference,LCA-3084,100000,43.66812227,21.33105802,2290,4688,0.328174262,,,,,,,,,,,,
Reference,LCA-3085,100000,49.72650423,18.28487841,2011,5469,0.268850267,,,,,,,,,,,,
